PatternCategory	PunctuationPosition	StopwordPresence	UnicodeClass	DuplicateDensity	FinalEntityCount
CamelCase	Clean	NA	ASCII	Duplicated	FiveToTwenty
CamelCase	Embedded	NA	ASCII	Unique	LtFive
CamelCase	Leading	NA	Latin1	Unique	LtFive
CamelCase	Trailing	NA	NonLatin	Duplicated	LtFive
ErrorType	Clean	NA	Latin1	Duplicated	LtFive
ErrorType	Embedded	NA	Latin1	Unique	FiveToTwenty
ErrorType	Leading	NA	ASCII	Unique	FiveToTwenty
ErrorType	Trailing	NA	ASCII	Duplicated	LtFive
ErrorType	Trailing	NA	NonLatin	Unique	LtFive
FilePath	Clean	NA	NonLatin	Unique	FiveToTwenty
FilePath	Embedded	NA	Latin1	Unique	LtFive
FilePath	Leading	NA	ASCII	Duplicated	LtFive
FilePath	Trailing	NA	Latin1	Duplicated	FiveToTwenty
Multiple	Clean	Present	NonLatin	Duplicated	GtTwenty
Multiple	Embedded	Absent	NonLatin	Duplicated	FiveToTwenty
Multiple	Embedded	Present	NonLatin	Unique	GtTwenty
Multiple	Leading	Present	Latin1	Unique	GtTwenty
Multiple	Trailing	Absent	ASCII	Duplicated	GtTwenty
Multiple	Trailing	Absent	Latin1	Unique	LtFive
None	Clean	NA	ASCII	Unique	LtFive
None	Embedded	NA	Latin1	Unique	LtFive
None	Leading	NA	Latin1	Unique	LtFive
None	Trailing	NA	NonLatin	Unique	LtFive
PersonName	Clean	Absent	ASCII	Unique	FiveToTwenty
PersonName	Embedded	Present	ASCII	Duplicated	LtFive
PersonName	Leading	Absent	NonLatin	Unique	LtFive
PersonName	Trailing	Present	Latin1	Unique	FiveToTwenty
